CiAc,MaAc,Gal,Glu,AcPh,AlPh,βGlu,DeHy,Ur,TVA,TMY,TAn,TO,Am,NIT-I,NIT-II,DN,AD,BD,NF,RD,SA,TL,TV,<0.5,0.5-2.5,>2.5,AeDW,AeFW,RDW,RFW
81.1818,90.1068,2.0252,4.74977,62.236,326.59,0.315,1.04,0.1385,6.942008053,6.230448921,5.926856709,7.10720997,100.88,2.28,22.6,3.5,0.85065,0.819716,985,0.160162,332.216,1201.64,7.43,457.592,734.684,8.7701,10.52,81.6,1.19,5.63
59.416,88.7818,3.95242,6.23894,79.5459,529.81,0.375,1.03,0.1405,7.031408464,5.397940009,5.477121255,7.093421685,46.56,1.52,22.6,4,0.6919,0.88859,966,0.154575,233.892,1087.12,4.011,628.185,453.731,4.3893,3.27,24.16,0.62,4.61
42.1738,33.8147,2.26956,7.44201,86.6718,523.73,0.5125,1.16,0.1415,6.667452953,5.301029996,5.51851394,7.342422681,155.2,3.04,22.6,3,0.7042,1.0064,1010,0.16983,224.176,1003.58,4.004,565.232,429.547,6.1232,4.13,28.8,0.68,4.47
44.5619,44.1802,3.5969,4.90968,66.2412,340.38,0.483,1.15,0.2125,6.511883361,6.176091259,5.45484486,6.841984805,46.56,3.04,11.3,3,0.811475,0.746983,1532,0.167251,533.476,2050.92,11.121,824.68,1210.52,13.8336,9.75,68.42,1.86,15.92
34.29,28.1986,4.58921,5.54597,65.5212,430.84,0.4645,1.08,0.12,7.051152522,5,5.643452676,7.681241237,0,1.52,22.6,3,0.97474,0.49051,1289,0.158105,794.187,2627.88,19.544,620.476,1989.66,15.8844,25.26,171.65,3.09,28.61
35.7213,56.8277,3.88305,27.2873,98.678,534.08,0.705,1.2,0.129,6.774516966,5.602059991,5.477121255,7.62324929,46.56,0.608,22.6,4,0.8638,0.546244,1306,0.125249,646.815,2390.87,14.052,753.355,1625.06,10.146,16.8,115.89,1.76,19.93
30.2273,38.2495,3.37288,10.3122,77.1404,434.51,0.3335,1.08,0.1585,7.040313243,5,6.602059991,7.096910013,310.4,3.04,22.6,4,0.9063,0.899914,1708,0.144582,546.15,1897.96,12.588,727.525,1157.65,11.9361,15.87,112.67,1.82,15.47
90.7941,106.153,1.61035,4.96657,72.6539,485.75,0.3385,0.96,0.1695,7.146128036,5.176091259,5.658011397,6.51851394,310.4,1.52,22.6,2,0.9585,0.71629,941,0.213977,390.272,1313.71,9.487,487.191,814.705,10.3479,18.85,142.19,2.03,15.01
125.032,38.8366,3.75204,7.72935,90.8947,458.46,0.6485,1.16,0.27,6.934498451,5,5.431363764,6.662757832,310.4,1.52,22.6,4,1.02053,0.599228,1043,0.117015,562.571,1740.57,14.528,437.239,1292.26,10.074,13.01,95.64,1.7,16.42
8.39731,24.1752,1.42224,1.69943,68.2987,427.9,0.5995,0.85,0.1265,7.120573931,7.176091259,5.84509804,7.744292983,310.4,6.08,22.6,3,0.8738,0.818466,682,0.228137,228.751,833.266,4.997,381.615,440.669,10.7395,16.22,98.63,1.14,7.06
5.84367,8.2982,0.545679,2.08128,52.9568,334.46,0.498,0.71,0.1185,6.736396502,4.698970004,5.556302501,7.025305865,46.56,3.04,22.6,2,0.6845,0.733552,629,0.165613,188.804,857.472,3.321,511.106,339.93,6.1531,5.8,36.08,0.55,3.98
4.282,8.06404,1.24459,3.59557,75.7763,446.24,0.6955,0.79,0.141,7.138302698,5.477121255,5.667452953,7.711807229,0,0.608,22.6,3,0.8012,0.739211,453,0.126214,154.256,612.816,3.09,265.416,342.274,5.0547,1.83,11.54,0.39,3.49
