CiAc,MaAc,Gal,Glu,AcPh,AlPh,βGlu,DeHy,Ur,TVA,TMY,TAn,TO,Am,NIT-I,NIT-II,DN,AD,BD,NF,RD,SA,TL,TV,<0.5,0.5-2.5,>2.5,AeDW,AeFW,RDW,RFW,SDW,SFW,FFW
5.10069,23.4884,0.191211,0.69689,55.4163,285.68,0.391,1.14,0.1945,6.200029267,4.954242509,5.301029996,6.216165902,4.656,0.152,2.26,3,0.73615,1.4171,3383,0.479024,547.619,2387.27,10.083,1269.24,1086.51,29.1463,240,928,4.83,10.9,10.3,28.12,651.8
2.47547,10.8013,1.32201,1.73151,87.2539,409.45,0.511,0.82,0.2795,6.184691431,5.146128036,4.653212514,7.014730495,15.52,0.304,2.26,4,0.76075,1.53643,3919,0.529432,602.149,2550.73,11.484,1509.48,960.912,74.8678,347,1582,6.08,15.55,15.04,41.3,894
60.269,49.6409,1.88231,2.62965,85.6568,525.82,0.673,1.1,0.205,6.197280558,5.190331698,6.301029996,6.963787827,0,0,0,2,1.30545,1.84125,4439,0.177091,936.657,2410.87,45.118,1357,946.326,105.834,521,2089,7.99,18.03,24.11,64.75,1596.5
26.6061,38.4131,2.04185,2.26293,59.1729,298.95,0.449,1.08,0.1835,7.079181246,4.977723605,6.161368002,6.922206277,0,0.152,2.26,3,0.92982,1.2472,3596,0.162858,839.69,2883.25,19.649,1226.5,1590.26,64.96,93,393.3,3.2,13.67,18.5,61.47,1094
48.1294,37.022,1.3243,2.62127,56.9841,427.55,0.389,1.2,0.1805,7.06069784,5.301029996,5.477121255,6.976808337,4.656,0.0608,2.26,4,0.9739,0.93363,814,0.412435,266.811,871.866,6.498,434.26,382.191,53.9128,128,580.72,2.68,8.41,19.58,68.23,1428
53.1903,55.2733,1.62641,0.412408,102.225,536.48,0.674,1.15,0.2015,7.008600172,5.041392685,6.759667845,6.651278014,10.088,0.228,2.26,4,0.8987,0.848928,868,0.291162,290.502,1022.47,6.766,447.21,547.135,27.5917,116,439.51,1.97,6.84,7.63,26.73,1261
9.51395,4.72438,0.706164,1.86185,72.029,443.64,0.407,0.98,0.172,6.897627091,5.204119983,5.397940009,6.92890769,31.04,0.152,2.26,3,0.86102,1.27467,3599,0.308079,781.478,2823.48,19.086,1632.91,1078.7,109.694,78,333.54,5.88,19.42,15.42,46.06,1100
38.0895,48.8345,0.36861,2.64056,69.4474,470.79,0.311,0.97,0.2015,6.118925753,4.954242509,4.903089987,6.441695136,31.04,0.152,2.26,4,0.90495,0.907136,1722,0.526632,553.535,1898.28,13.33,1038.89,766.189,91.7772,196,974.61,7.02,23.4,27.67,87.46,2114
60.3549,43.615,0.164279,1.86548,86.612,428.32,0.603,1.03,0.229,6.252853031,5,6.740362689,6.559308011,31.04,0.608,2.26,4,0.72565,1.23813,3265,0.362382,605.103,2637.05,11.452,1607.95,969.025,56.1822,94,415.57,4.15,13.75,16.44,51.41,1758
41.0085,16.4799,1.41568,2.08326,86.8678,379.09,0.403,1.11,0.181,6.989004616,5.161368002,7.084576278,6.498310554,4.656,0.304,2.26,2,1.21437,0.756213,896,0.78745,476.524,1184.85,16.128,563.207,465.786,154.322,254,789,12.7,29.01,16.4,39.59,1454
62.6704,44.0826,2.73769,2.69229,48.0025,275.04,0.451,1.04,0.1935,8.331427297,5.469822016,6.602059991,6.651278014,0,0.0608,2.26,2,0.906167,0.962176,1851,0.679918,535.509,1923.76,12.678,1119.68,695.71,104.739,270,977,8.62,18.78,36.41,91.99,1805
51.8395,30.2813,2.07668,2.38778,73.2617,397.6,0.427,0.95,0.18725,8.049702456,5.342422681,6.907142531,6.581494542,4.656,0.304,1.13,2,1.06027,0.883673,1373.5,0.740124,506.017,1554.31,14.403,841.444,580.748,129.53,262,883,10.66,23.895,26.405,65.79,1629.5
