VARIEDAD,CiAc,MaAc,Gal,Glu,AcPh,βGlu,Ur,TVA,TMY,TO,TAn,Am,NIT-I,NIT-II,DN
Bulk-C,7.76394,13.8637,1.60982,7.52819,80.3499,0.435,0.148,6.744292983,5.397940009,6.832508913,5.243038049,0,3.04,22.6,3
Bulk-C,101.331,51.1167,8.84325,73.809,64.6652,0.3915,0.1375,7.062581984,5.397940009,7.498310554,5.511883361,155.2,1.52,22.6,2
Bulk-C,124.308,74.654,1.73173,39.1466,66.6719,0.337,0.1485,6.875061263,5.397940009,7.380211242,5.414973348,0,6.08,22.6,2
Bulk-O,8.81967,6.62969,1.27342,3.36698,90.942,0.842,0.2315,7.73239376,6.176091259,7.711807229,5.977723605,46.56,12.16,11.3,4
Bulk-O,6.99397,28.9262,0.701574,2.87707,83.8293,0.628,0.1675,6.961421094,1,6.73239376,5.602059991,23.28,24.32,22.6,3
Bulk-O,16.1357,37.4917,1.90106,6.24464,94.7773,0.8855,0.197,7.118925753,6.176091259,7.250420002,5.653212514,155.2,24.32,22.6,4
BOL-C,81.1818,90.1068,2.0252,4.74977,62.236,0.315,0.1385,6.942008053,6.230448921,7.10720997,5.926856709,100.88,2.28,22.6,3.5
BOL-C,59.416,88.7818,3.95242,6.23894,79.5459,0.375,0.1405,7.031408464,5.397940009,7.093421685,5.477121255,46.56,1.52,22.6,4
BOL-C,42.1738,33.8147,2.26956,7.44201,86.6718,0.5125,0.1415,6.667452953,5.301029996,7.342422681,5.51851394,155.2,3.04,22.6,3
BOL-O,8.34865,8.86317,1.69028,3.68032,93.6222,0.9015,0.1755,7.444435173,8.352182518,7.264227348,7.80260271,232.8,24.32,22.6,2.5
BOL-O,8.55289,7.91024,2.36528,5.11124,86.7,0.72175,0.16,7.681241237,8,7.484299839,5.977723605,155.2,24.32,22.6,1
BOL-O,8.1444,9.8161,1.01529,2.2494,90.1611,0.542,0.1445,6.883661435,8.544068044,6.795880017,8.100370545,310.4,24.32,22.6,4
Bola-C,44.5619,44.1802,3.5969,4.90968,66.2412,0.483,0.2125,6.511883361,6.176091259,6.841984805,5.45484486,46.56,3.04,11.3,3
Bola-C,34.29,28.1986,4.58921,5.54597,65.5212,0.4645,0.12,7.051152522,5,7.681241237,5.643452676,0,1.52,22.6,3
Bola-C,35.7213,56.8277,3.88305,27.2873,98.678,0.705,0.129,6.774516966,5.602059991,7.62324929,5.477121255,46.56,0.608,22.6,4
Bola-O,43.3293,34.7983,1.44375,2.41696,113.663,0.691,0.1955,7.537819095,7.698970004,7.469822016,6.877946952,310.4,24.32,11.3,0
Bola-O,34.2303,43.6172,3.19416,6.67059,88.6754,0.8085,0.196,8.144574208,8,7.995635195,7.380211242,155.2,12.16,22.6,2
Bola-O,59.909,61.3292,1.02365,2.90551,93.1339,0.9065,0.131,6.908485019,1,7.184691431,5.740362689,155.2,24.32,22.6,1
Piq-C,30.2273,38.2495,3.37288,10.3122,77.1404,0.3335,0.1585,7.040313243,5,7.096910013,6.602059991,310.4,3.04,22.6,4
Piq-C,90.7941,106.153,1.61035,4.96657,72.6539,0.3385,0.1695,7.146128036,5.176091259,6.51851394,5.658011397,310.4,1.52,22.6,2
Piq-C,125.032,38.8366,3.75204,7.72935,90.8947,0.6485,0.27,6.934498451,5,6.662757832,5.431363764,310.4,1.52,22.6,4
Piq-O,8.27468,22.5812,0.966021,2.42804,88.037,0.723,0.176,6.892094603,1,6.84509804,5.698970004,46.56,24.32,22.6,1
Piq-O,8.83214,12.1418,1.34585,3.19208,78.5711,0.546,0.157,7.977723605,6.176091259,8.08278537,7.759667845,77.6,24.32,22.6,2
Piq-O,29.6197,21.2526,1.75979,6.1459,96.1514,0.78,0.1925,7.243038049,8.176091259,7.075546961,6.255272505,310.4,12.16,11.3,4
Ser-C,8.39731,24.1752,1.42224,1.69943,68.2987,0.5995,0.1265,7.120573931,7.176091259,7.744292983,5.84509804,310.4,6.08,22.6,3
Ser-C,5.84367,8.2982,0.545679,2.08128,52.9568,0.498,0.1185,6.736396502,4.698970004,7.025305865,5.556302501,46.56,3.04,22.6,2
Ser-C,4.282,8.06404,1.24459,3.59557,75.7763,0.6955,0.141,7.138302698,5.477121255,7.711807229,5.667452953,0,0.608,22.6,3
Ser-O,7.78312,9.97363,2.02859,6.70706,92.0418,0.548,0.204,7.698970004,5.698970004,7.72427587,6.041392685,155.2,24.32,11.3,3
Ser-O,7.25834,7.12026,1.63118,3.20784,94.7858,0.674,0.161,7.802773725,7.301029996,7.008600172,5.740362689,46.56,12.16,11.3,3
Ser-O,9.22662,9.54803,1.306,3.08437,81.1961,0.608,0.155,7.041392685,1,7.270678836,6.146128036,155.2,12.16,22.6,4
