,T1,,,T2,,
,F1.1,F2.1,F3.1,F1.2,F2.2,F3.2
Bulk-C,-0.75,-0.97,-0.88,-0.85,-0.97,-0.16
Bulk-C,3.18,1.16,-0.85,-1.58,-0.86,-0.08
Bulk-C,1.77,-0.53,-0.43,-0.64,-0.36,-0.39
Bulk-O,-0.66,0.95,0.74,0.46,-1.25,-0.68
Bulk-O,-1.4,-1.09,-0.4,0.3,-1.26,0.02
Bulk-O,-0.88,0,0.54,-0.02,-1.24,1.82
BOL-C,1,-0.82,-0.55,-1.05,-0.69,-1.4
BOL-C,0.91,-0.56,-0.36,0.19,-0.59,-2.02
BOL-C,0.17,-0.51,-0.42,-0.75,1.15,-0.87
BOL-O,-0.74,0.7,0.97,1.14,-0.93,0.53
BOL-O,-0.46,1.14,0.25,0.34,-0.93,0.46
BOL-O,-0.72,-0.37,0.71,0.83,1.36,0.94
Bola-C,0.22,-1.33,-0.14,-0.6,0.11,-0.12
Bola-C,1.03,0.48,-1.28,-0.78,0.42,-0.31
Bola-C,0.43,0.29,-0.69,-1.19,1,0.71
Bola-O,-0.26,0.62,1.93,1.49,-0.52,0.53
Bola-O,0.28,2.07,0.69,2.21,1.12,-0.29
Bola-O,-0.25,-0.84,0.21,0.6,1.92,-0.45
Piq-C,0.25,-0.07,-0.31,-1.37,-1.34,0.08
Piq-C,0.52,-1.46,0.39,-0.23,1.13,-2.38
Piq-C,1.6,-1.76,2.66,-0.38,1.05,-1.26
Piq-O,-1.55,-0.99,-0.32,0.29,-0.75,0.54
Piq-O,-0.31,2.09,-0.3,1.09,-1.14,-0.27
Piq-O,-0.14,-0.08,1.41,1.74,-0.71,0.12
Ser-C,-0.4,0.82,-1.21,-0.88,0.04,-0.04
Ser-C,-0.82,-0.74,-1.95,-1.19,1.23,2.07
Ser-C,-0.58,0.48,-1.25,-1.21,0.69,1.75
Ser-O,-0.43,1.25,0.57,0.61,0.85,0.74
Ser-O,-0.31,0.31,0.88,0.71,0.72,0.03
Ser-O,-0.73,-0.24,-0.62,0.71,0.77,0.38
,,,,,,
% Variance,30.21,14.38,12.26,35.89,15.46,10.67
Valor Eigen,4.53,2.16,1.84,5.74,2.47,1.71
