ACCESSION,REP,FIELD,DATE,CiAc,MaAc,Gal,Glu,DeHy,AcPh,AlPh,βGlu,Ur,SA,AD,TL,NF,TV,<0.5,0.5-2.5,>2.5,BD,RD,AeFW,AeDW,RFW,RDW,FFW,SFW,SDW,TVA,TMY,TO,TAn,Am,NIT-I,NIT-II,DN
Bulk,1,CONVENTIONAL ,T2,2.42538,10.1116,0.315109,1.8874,0.95,84.057,468.64,0.318,0.172,,,,,,,,,,,,,,,,,,7.012837225,5.021189299,6.56937391,6.176091259,15.52,0.152,2.26,2
Bulk,2,CONVENTIONAL ,T2,8.5532,24.5844,0.672296,7.63208,1.12,75.0428,546.8,0.33,0.176,,,,,,,,,,,,,,,,,,6.880813592,4.602059991,6.310693312,5.06069784,0,0.608,2.26,2
Bulk,3,CONVENTIONAL ,T2,9.6395,32.4025,0.423338,5.79089,1.13,75.5613,515.47,0.382,0.185,,,,,,,,,,,,,,,,,,7.122215878,5.301029996,6.57054294,6.579783597,31.04,0.304,2.26,4
Bulk,1,ORGANIC,T2,16.4832,0.324043,1.74318,2.43809,0.85,91.0823,473,0.452,0.2695,,,,,,,,,,,,,,,,,,6.812913357,5.469822016,7.123851641,5.795880017,77.6,0,22.6,4
Bulk,2,ORGANIC,T2,10.404,8.96371,1.63674,5.94881,0.95,79.9646,437.9,0.668,0.353,,,,,,,,,,,,,,,,,,7.049218023,5.290034611,7.258876629,4.176091259,77.6,0,22.6,2
Bulk,3,ORGANIC,T2,9.83721,7.24367,1.60551,3.08059,1.14,91.767,465.39,0.454,0.2815,,,,,,,,,,,,,,,,,,8.216165902,5.556302501,7.26599637,7.079181246,155.2,0.608,22.6,1
Bulk,1,CONVENTIONAL ,T1,7.76394,13.8637,1.60982,7.52819,1.06,80.3499,494.3,0.435,0.148,,,,,,,,,,,,,,,,,,6.744292983,5.397940009,6.832508913,5.243038049,0,3.04,22.6,3
Bulk,2,CONVENTIONAL ,T1,101.331,51.1167,8.84325,73.809,0.96,64.6652,544.47,0.3915,0.1375,,,,,,,,,,,,,,,,,,7.062581984,5.397940009,7.498310554,5.511883361,155.2,1.52,22.6,2
Bulk,3,CONVENTIONAL ,T1,124.308,74.654,1.73173,39.1466,1.05,66.6719,540.45,0.337,0.1485,,,,,,,,,,,,,,,,,,6.875061263,5.397940009,7.380211242,5.414973348,0,6.08,22.6,2
Bulk,1,ORGANIC,T1,8.81967,6.62969,1.27342,3.36698,0.96,90.942,480.59,0.842,0.2315,,,,,,,,,,,,,,,,,,7.73239376,6.176091259,7.711807229,5.977723605,46.56,12.16,11.3,4
Bulk,2,ORGANIC,T1,6.99397,28.9262,0.701574,2.87707,0.83,83.8293,436.43,0.628,0.1675,,,,,,,,,,,,,,,,,,6.961421094,1,6.73239376,5.602059991,23.28,24.32,22.6,3
Bulk,3,ORGANIC,T1,16.1357,37.4917,1.90106,6.24464,1.04,94.7773,486.74,0.8855,0.197,,,,,,,,,,,,,,,,,,7.118925753,6.176091259,7.250420002,5.653212514,155.2,24.32,22.6,4
BOL-58       ,1,CONVENTIONAL ,T2,5.10069,23.4884,0.191211,0.69689,1.14,55.4163,285.68,0.391,0.1945,547.619,0.73615,2387.27,3383,10.083,1269.24,1086.51,29.1463,1.4171,0.479024,928,240,10.9,4.83,651.8,28.12,10.3,6.200029267,4.954242509,6.216165902,5.301029996,4.656,0.152,2.26,3
BOL-58       ,2,CONVENTIONAL ,T2,2.47547,10.8013,1.32201,1.73151,0.82,87.2539,409.45,0.511,0.2795,602.149,0.76075,2550.73,3919,11.484,1509.48,960.912,74.8678,1.53643,0.529432,1582,347,15.55,6.08,894,41.3,15.04,6.184691431,5.146128036,7.014730495,4.653212514,15.52,0.304,2.26,4
BOL-58       ,3,CONVENTIONAL ,T2,60.269,49.6409,1.88231,2.62965,1.1,85.6568,525.82,0.673,0.205,936.657,1.30545,2410.87,4439,45.118,1357,946.326,105.834,1.84125,0.177091,2089,521,18.03,7.99,1596.5,64.75,24.11,6.197280558,5.190331698,6.963787827,6.301029996,0,0,0,2
BOL-58       ,1,ORGANIC,T2,8.53205,9.58243,2.35038,3.18356,1.12,103.448,500.1,0.652,0.323,477.137,0.704,2094.41,3286,8.754,1373.43,679.898,38.0332,1.56894,0.445511,405,93,9.44,3.9,341,23.44,8.56,7.602059991,3.698970004,7.238046103,5.77815125,77.6,0,22.6,1
BOL-58       ,2,ORGANIC,T2,6.87648,9.31989,1.24907,1.52855,0.96,84.5253,454.15,0.568,0.311,924.136,0.79858,3621.63,6448,18.878,2294.35,1164.02,160.447,1.78042,0.558852,1981,411,28.5,10.55,1112,81.55,29.82,7.525044807,5.431363764,7.396199347,6.041392685,77.6,0.608,11.3,2
BOL-58       ,3,ORGANIC,T2,61.839,70.4911,1.83938,7.30621,1.04,93.9866,477.125,0.646,0.305,826.377,0.819525,3214.51,6968,17.004,1912.67,1175.32,123.948,2.16767,0.491061,925,215,21.79,8.35,218,38.84,14.44,7.72427587,5.146128036,7.607455023,5.602059991,77.6,0,22.6,1
BOL-58       ,1,CONVENTIONAL ,T1,81.1818,90.1068,2.0252,4.74977,1.04,62.236,326.59,0.315,0.1385,332.216,0.85065,1201.64,985,7.43,457.592,734.684,8.7701,0.819716,0.160162,81.6,10.52,5.63,1.19,,,,6.942008053,6.230448921,7.10720997,5.926856709,100.88,2.28,22.6,3.5
BOL-58       ,2,CONVENTIONAL ,T1,59.416,88.7818,3.95242,6.23894,1.03,79.5459,529.81,0.375,0.1405,233.892,0.6919,1087.12,966,4.011,628.185,453.731,4.3893,0.88859,0.154575,24.16,3.27,4.61,0.62,,,,7.031408464,5.397940009,7.093421685,5.477121255,46.56,1.52,22.6,4
BOL-58       ,3,CONVENTIONAL ,T1,42.1738,33.8147,2.26956,7.44201,1.16,86.6718,523.73,0.5125,0.1415,224.176,0.7042,1003.58,1010,4.004,565.232,429.547,6.1232,1.0064,0.16983,28.8,4.13,4.47,0.68,,,,6.667452953,5.301029996,7.342422681,5.51851394,155.2,3.04,22.6,3
BOL-58       ,1,ORGANIC,T1,8.34865,8.86317,1.69028,3.68032,1.29,93.6222,449.28,0.9015,0.1755,264.916,0.9094,927.29,1014,6.023,458.584,453.181,14.956,1.09351,0.325419,147.9,20.25,9.69,1.96,,,,7.444435173,8.352182518,7.264227348,7.80260271,232.8,24.32,22.6,2.5
BOL-58       ,2,ORGANIC,T1,8.55289,7.91024,2.36528,5.11124,1.06,86.7,462.1,0.72175,0.16,194.999,0.8518,728.658,779,4.153,364.668,353.326,9.9113,1.06909,0.390079,64.4,10.55,6.26,1.62,,,,7.681241237,8,7.484299839,5.977723605,155.2,24.32,22.6,1
BOL-58       ,3,ORGANIC,T1,8.1444,9.8161,1.01529,2.2494,1.175,90.1611,455.69,0.542,0.1445,229.957,0.8806,827.974,896.5,5.088,411.626,403.253,12.4337,1.08276,0.351808,106.15,15.4,7.975,1.79,,,,6.883661435,8.544068044,6.795880017,8.100370545,310.4,24.32,22.6,4
Bola         ,1,CONVENTIONAL ,T2,26.6061,38.4131,2.04185,2.26293,1.08,59.1729,298.95,0.449,0.1835,839.69,0.92982,2883.25,3596,19.649,1226.5,1590.26,64.96,1.2472,0.162858,393.3,93,13.67,3.2,1094,61.47,18.5,7.079181246,4.977723605,6.922206277,6.161368002,0,0.152,2.26,3
Bola         ,2,CONVENTIONAL ,T2,48.1294,37.022,1.3243,2.62127,1.2,56.9841,427.55,0.389,0.1805,266.811,0.9739,871.866,814,6.498,434.26,382.191,53.9128,0.93363,0.412435,580.72,128,8.41,2.68,1428,68.23,19.58,7.06069784,5.301029996,6.976808337,5.477121255,4.656,0.0608,2.26,4
Bola         ,3,CONVENTIONAL ,T2,53.1903,55.2733,1.62641,0.412408,1.15,102.225,536.48,0.674,0.2015,290.502,0.8987,1022.47,868,6.766,447.21,547.135,27.5917,0.848928,0.291162,439.51,116,6.84,1.97,1261,26.73,7.63,7.008600172,5.041392685,6.651278014,6.759667845,10.088,0.228,2.26,4
Bola         ,1,ORGANIC,T2,11.468,28.3646,2.31371,5.15753,0.94,104.882,504.19,0.61,0.4765,472.135,0.6516,2315.25,3597,7.741,1455.08,846.342,10.7104,1.55361,0.267407,169,54,6.56,2.07,262,18.35,5.21,7.667452953,5.113943352,7.294466226,6.477121255,77.6,3.04,22.6,1
Bola         ,2,ORGANIC,T2,43.8238,45.6044,2.21537,8.94871,1.02,90.7522,429.63,0.79,0.5175,834.749,0.68138,3852.89,5943,15.007,2510.38,1235.76,101.305,1.54248,0.241221,492,157,14.83,3.62,592,50.66,16.98,7.576916956,6.06069784,7.339451441,6.041392685,77.6,1.52,22.6,1
Bola         ,3,ORGANIC,T2,56.7127,77.6262,2.13628,5.57313,0.93,89.496,482.95,0.624,0.415,699.821,0.73775,2935.82,5281,13.766,1842.29,980.257,112.298,1.79881,0.339242,560,142,18.91,4.67,404,38.46,10.49,7.031408464,5.130333768,6.924279286,6.021189299,77.6,3.04,11.3,3
Bola         ,1,CONVENTIONAL ,T1,44.5619,44.1802,3.5969,4.90968,1.15,66.2412,340.38,0.483,0.2125,533.476,0.811475,2050.92,1532,11.121,824.68,1210.52,13.8336,0.746983,0.167251,68.42,9.75,15.92,1.86,,,,6.511883361,6.176091259,6.841984805,5.45484486,46.56,3.04,11.3,3
