CiAc,MaAc,Gal,Glu,AcPh,AlPh,βGlu,DeHy,Ur,TVA,TMY,TAn,TO,Am,NIT-I,NIT-II,DN,AD,BD,NF,RD,SA,TL,TV,<0.5,0.5-2.5,>2.5,AeDW,AeFW,RDW,RFW
8.34865,8.86317,1.69028,3.68032,93.6222,449.28,0.9015,1.29,0.1755,7.444435173,8.352182518,7.80260271,7.264227348,232.8,24.32,22.6,2.5,0.9094,1.09351,1014,0.325419,264.916,927.29,6.023,458.584,453.181,14.956,20.25,147.9,1.96,9.69
8.55289,7.91024,2.36528,5.11124,86.7,462.1,0.72175,1.06,0.16,7.681241237,8,5.977723605,7.484299839,155.2,24.32,22.6,1,0.8518,1.06909,779,0.390079,194.999,728.658,4.153,364.668,353.326,9.9113,10.55,64.4,1.62,6.26
8.1444,9.8161,1.01529,2.2494,90.1611,455.69,0.542,1.175,0.1445,6.883661435,8.544068044,8.100370545,6.795880017,310.4,24.32,22.6,4,0.8806,1.08276,896.5,0.351808,229.957,827.974,5.088,411.626,403.253,12.4337,15.4,106.15,1.79,7.975
43.3293,34.7983,1.44375,2.41696,113.663,462.56,0.691,0.95,0.1955,7.537819095,7.698970004,6.877946952,7.469822016,310.4,24.32,11.3,0,0.7759,0.972981,582,0.325318,145.797,598.162,2.828,356.784,233.292,7.9537,7.53,39.84,0.92,4.03
34.2303,43.6172,3.19416,6.67059,88.6754,431.77,0.8085,0.86,0.196,8.144574208,8,7.380211242,7.995635195,155.2,12.16,22.6,2,0.74545,1.02307,1843,0.252282,422.539,1801.44,7.888,926.67,860.403,8.9275,10.93,68.85,1.99,10.95
59.909,61.3292,1.02365,2.90551,93.1339,456.87,0.9065,0.92,0.131,6.908485019,1,5.740362689,7.184691431,155.2,24.32,22.6,1,0.79,0.793719,578,0.316615,180.73,728.218,3.569,392.755,328.022,5.9665,10.74,60.4,1.13,5.84
8.27468,22.5812,0.966021,2.42804,88.037,400.75,0.723,0.94,0.176,6.892094603,1,5.698970004,6.84509804,46.56,24.32,22.6,1,0.74875,0.891145,927,0.362152,247.131,1040.23,4.777,528.729,502.701,7.2841,9.63,54.14,1.73,7.26
8.83214,12.1418,1.34585,3.19208,78.5711,444.6,0.546,0.95,0.157,7.977723605,6.176091259,7.759667845,8.08278537,77.6,24.32,22.6,2,0.806,0.74942,237,0.241636,80.0811,316.245,1.614,157.574,153.528,3.7799,4.43,27.26,0.39,2.18
29.6197,21.2526,1.75979,6.1459,96.1514,441.69,0.78,1.08,0.1925,7.243038049,8.176091259,6.255272505,7.075546961,310.4,12.16,11.3,4,0.8516,1.18651,982,0.328808,221.413,827.637,4.714,374.695,441.556,9.2723,12,67.283,1.55,7
7.78312,9.97363,2.02859,6.70706,92.0418,571.31,0.548,1.02,0.204,7.698970004,5.698970004,6.041392685,7.72427587,155.2,24.32,11.3,3,1.1945,0.964623,673,0.314658,261.81,697.682,7.818,226.405,435.486,33.677,19.07,110.25,2.46,14.63
7.25834,7.12026,1.63118,3.20784,94.7858,573.33,0.674,0.96,0.161,7.802773725,7.301029996,5.740362689,7.008600172,46.56,12.16,11.3,3,0.9288,0.70769,405,0.384219,166.995,572.284,3.878,290.738,264.821,16.5347,10.41,59.46,1.49,6.8
9.22662,9.54803,1.306,3.08437,81.1961,547.11,0.608,0.87,0.155,7.041392685,1,6.146128036,7.270678836,155.2,12.16,22.6,4,1.06165,0.848841,539,0.337722,214.402,634.983,5.848,258.572,350.154,25.1059,14.74,84.855,1.975,10.715
