VARIEDAD,CiAc,MaAc,Gal,Glu,DeHy,AcPh,βGlu,Ur,TVA,TMY,TO,TAn,Am,NIT-I,NIT-II,DN
Bulk-C,2.42538,10.1116,0.315109,1.8874,0.95,84.057,0.318,0.172,7.012837225,5.021189299,6.56937391,6.176091259,15.52,0.152,2.26,2
Bulk-C,8.5532,24.5844,0.672296,7.63208,1.12,75.0428,0.33,0.176,6.880813592,4.602059991,6.310693312,5.06069784,0,0.608,2.26,2
Bulk-C,9.6395,32.4025,0.423338,5.79089,1.13,75.5613,0.382,0.185,7.122215878,5.301029996,6.57054294,6.579783597,31.04,0.304,2.26,4
Bulk-O,16.4832,0.324043,1.74318,2.43809,0.85,91.0823,0.452,0.2695,6.812913357,5.469822016,7.123851641,5.795880017,77.6,0,22.6,4
Bulk-O,10.404,8.96371,1.63674,5.94881,0.95,79.9646,0.668,0.353,7.049218023,5.290034611,7.258876629,4.176091259,77.6,0,22.6,2
Bulk-O,9.83721,7.24367,1.60551,3.08059,1.14,91.767,0.454,0.2815,8.216165902,5.556302501,7.26599637,7.079181246,155.2,0.608,22.6,1
BOL-C,5.10069,23.4884,0.191211,0.69689,1.14,55.4163,0.391,0.1945,6.200029267,4.954242509,6.216165902,5.301029996,4.656,0.152,2.26,3
BOL-C,2.47547,10.8013,1.32201,1.73151,0.82,87.2539,0.511,0.2795,6.184691431,5.146128036,7.014730495,4.653212514,15.52,0.304,2.26,4
BOL-C,60.269,49.6409,1.88231,2.62965,1.1,85.6568,0.673,0.205,6.197280558,5.190331698,6.963787827,6.301029996,0,0,0,2
BOL-O,8.53205,9.58243,2.35038,3.18356,1.12,103.448,0.652,0.323,7.602059991,3.698970004,7.238046103,5.77815125,77.6,0,22.6,1
BOL-O,6.87648,9.31989,1.24907,1.52855,0.96,84.5253,0.568,0.311,7.525044807,5.431363764,7.396199347,6.041392685,77.6,0.608,11.3,2
BOL-O,61.839,70.4911,1.83938,7.30621,1.04,93.9866,0.646,0.305,7.72427587,5.146128036,7.607455023,5.602059991,77.6,0,22.6,1
Bola-C,26.6061,38.4131,2.04185,2.26293,1.08,59.1729,0.449,0.1835,7.079181246,4.977723605,6.922206277,6.161368002,0,0.152,2.26,3
Bola-C,48.1294,37.022,1.3243,2.62127,1.2,56.9841,0.389,0.1805,7.06069784,5.301029996,6.976808337,5.477121255,4.656,0.0608,2.26,4
Bola-C,53.1903,55.2733,1.62641,0.412408,1.15,102.225,0.674,0.2015,7.008600172,5.041392685,6.651278014,6.759667845,10.088,0.228,2.26,4
Bola-O,11.468,28.3646,2.31371,5.15753,0.94,104.882,0.61,0.4765,7.667452953,5.113943352,7.294466226,6.477121255,77.6,3.04,22.6,1
Bola-O,43.8238,45.6044,2.21537,8.94871,1.02,90.7522,0.79,0.5175,7.576916956,6.06069784,7.339451441,6.041392685,77.6,1.52,22.6,1
Bola-O,56.7127,77.6262,2.13628,5.57313,0.93,89.496,0.624,0.415,7.031408464,5.130333768,6.924279286,6.021189299,77.6,3.04,11.3,3
Piq-C,9.51395,4.72438,0.706164,1.86185,0.98,72.029,0.407,0.172,6.897627091,5.204119983,6.92890769,5.397940009,31.04,0.152,2.26,3
Piq-C,38.0895,48.8345,0.36861,2.64056,0.97,69.4474,0.311,0.2015,6.118925753,4.954242509,6.441695136,4.903089987,31.04,0.152,2.26,4
Piq-C,60.3549,43.615,0.164279,1.86548,1.03,86.612,0.603,0.229,6.252853031,5,6.559308011,6.740362689,31.04,0.608,2.26,4
Piq-O,10.0902,9.84928,1.61112,3.11,1,89.1114,0.582,0.3005,7.491361694,5.130333768,7.325310372,5.525044807,46.56,0,11.3,0
Piq-O,3.33398,11.1221,1.77471,4.14479,0.9,82.6389,0.601,0.3125,7.088136089,5.45484486,7.275311355,6.767155866,77.6,0,22.6,1
Piq-O,10.9726,3.21308,1.54866,2.97056,1.07,91.4939,0.625,0.444,7.809559715,5.414973348,7.324282455,5.176091259,77.6,0.608,22.6,2
Ser-C,41.0085,16.4799,1.41568,2.08326,1.11,86.8678,0.403,0.181,6.989004616,5.161368002,6.498310554,7.084576278,4.656,0.304,2.26,2
Ser-C,62.6704,44.0826,2.73769,2.69229,1.04,48.0025,0.451,0.1935,8.331427297,5.469822016,6.651278014,6.602059991,0,0.0608,2.26,2
Ser-C,51.8395,30.2813,2.07668,2.38778,0.95,73.2617,0.427,0.18725,8.049702456,5.342422681,6.581494542,6.907142531,4.656,0.304,1.13,2
Ser-O,63.2092,51.1463,1.83673,3.56517,0.96,87.3388,0.632671,0.3745,7.574031268,5.511883361,7.206825876,5.911157609,77.6,1.52,22.6,4
Ser-O,54.3071,36.097,1.75551,8.1828,0.92,87.3093,0.761377,0.342,7.206825876,5.431363764,7.371067862,5.361727836,0,0,11.3,1
Ser-O,58.7581,43.6217,1.79612,5.87399,0.94,80.349,0.697024,0.35825,7.428134794,5.47348697,7.29666519,5.718086295,38.8,0.76,16.95,2.5
